id,c000,ca01,ca02,ca03,ce01,ce02,ce03,cns01,cns02,cns03,cns04,cns05,cns06,cns07,cns08,cns09,cns10,cns11,cns12,cns13,cns14,cns15,cns16,cns17,cns18,cns19,cns20,cr01,cr02,cr03,cr04,cr05,cr07,ct01,ct02,cd01,cd02,cd03,cd04,cg01,cg02,longitude,latitude,sum_workers
060411150001013,32,7,17,8,15,12,5,0,0,0,6,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,27,1,0,2,0,2,22,10,8,5,5,7,19,13,-122.5759109270553,37.99544648994791,249
060411150001004,18,2,16,0,0,0,18,0,0,0,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,17,1,1,4,4,7,12,6,-122.57476507198564,37.99881471611612,142
060411032003004,33,4,13,16,4,5,24,0,0,0,22,3,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,31,0,0,2,0,0,21,12,6,5,10,8,20,13,-122.59031145921006,38.092034316213834,260
060411150002001,236,23,141,72,51,41,144,3,0,0,1,0,0,0,0,0,3,3,5,0,2,169,1,0,44,5,0,203,11,1,13,0,8,205,31,21,38,48,106,93,143,-122.58891122806544,38.0179542444047,1865
060411150002009,5,0,2,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,2,3,4,1,-122.5816271222073,38.01177998083748,40
060411150002004,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,1,1,0,1,0,0,2,-122.59413943155418,38.01217900834941,16
060411150002012,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,2,0,2,-122.57739584650378,38.003232906085884,16
060411150002007,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,-122.58087396276635,38.00961613531804,8
060411150003002,6,1,5,0,1,1,4,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,3,1,1,1,2,5,1,-122.57926518450112,37.997577654494215,47
060411150003010,17,2,9,6,7,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,13,0,2,1,0,1,11,6,3,4,4,4,2,15,-122.58105820882898,37.98808117374746,134
060411150003005,60,10,24,26,10,21,29,0,0,0,34,0,0,0,0,0,0,0,10,0,4,0,11,0,0,1,0,41,2,0,16,1,0,44,16,7,8,13,22,41,19,-122.58124339874252,37.993946331533806,470
060411150003000,20,5,6,9,7,5,8,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,11,2,0,18,0,0,0,0,2,15,5,2,3,7,3,14,6,-122.58218720700266,38.002725424135726,155
060411150003007,12,2,8,2,1,7,4,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,10,0,0,0,0,2,10,2,1,1,5,3,4,8,-122.58098571462816,37.988757861710155,94
060411150004007,46,5,26,15,12,7,27,0,0,0,0,0,0,0,0,0,0,0,2,0,2,38,4,0,0,0,0,41,0,1,4,0,0,41,5,4,7,11,19,12,34,-122.57554433467261,37.98989800919456,363
060411150004006,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,2,3,0,-122.5725566375006,37.990849615839664,24
060411150004005,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,-122.56907848913023,37.98383123099036,8
060411150004017,8,0,8,0,1,3,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,5,3,1,1,0,6,5,3,-122.57390357018453,37.98931804290996,64
060411150004008,8,2,5,1,1,2,5,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,0,0,0,0,0,7,1,1,1,1,3,7,1,-122.57338701864629,37.985998337606325,62
060411150004013,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,1,0,0,0,2,1,1,-122.57752744667242,37.98754868275947,16
